[August 19, 2024 22:26:25 UTC] [DEBUG | main] Starting main function
[August 19, 2024 22:26:25 UTC] [DEBUG | main] Initializing controllers
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Initializing RelayController
[August 19, 2024 22:26:25 UTC] [INFO | relay_controller] RelayController initialized
[August 19, 2024 22:26:25 UTC] [DEBUG | water_nutrient_controller] Initializing WaterNutrientController
[August 19, 2024 22:26:25 UTC] [DEBUG | water_nutrient_controller] Configuration loaded: {'nutrient_pumps': {'green': {'pin': -1, 'flow_rate': 0.5}, 'red': {'pin': -1, 'flow_rate': 0.5}, 'yellow': {'pin': -1, 'flow_rate': 0.5}}, 'water_pump': {'pin': 16, 'flow_rate': 20}, 'distribution_pumps': {'pump_1': {'pin': 5, 'flow_rate': 30}, 'pump_2': {'pin': 20, 'flow_rate': 30}, 'pump_3': {'pin': 13, 'flow_rate': 30}, 'pump_4': {'pin': 6, 'flow_rate': 30}, 'pump_5': {'pin': 19, 'flow_rate': 30}}, 'fill_level_sensor': {'pin': 26}, 'nutrient_amounts': {'green': 50, 'red': 30, 'yellow': 20}, 'total_water_ml': 8000, 'ml_per_plant': 10}
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Getting state for pin 16
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] State for pin 16: 1
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Pin 16 state: 1
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Getting state for pin 5
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] State for pin 5: 1
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Pin 5 state: 1
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Getting state for pin 20
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] State for pin 20: 1
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Pin 20 state: 1
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Getting state for pin 13
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] State for pin 13: 1
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Pin 13 state: 1
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Getting state for pin 6
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] State for pin 6: 1
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Pin 6 state: 1
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Getting state for pin 19
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] State for pin 19: 1
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Pin 19 state: 1
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] GPIOs Ouputs initialized: [16, 5, 20, 13, 6, 19]
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Getting state for pin 26
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] State for pin 26: 0
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] Pin 26 state: 0
[August 19, 2024 22:26:25 UTC] [DEBUG | relay_controller] GPIOs Inputs initialized: [26]
[August 19, 2024 22:26:25 UTC] [INFO | water_nutrient_controller] WaterNutrientController initialized with the following configuration:
[August 19, 2024 22:26:25 UTC] [INFO | water_nutrient_controller] Nutrient Pumps: {'green': {'pin': -1, 'flow_rate': 0.5}, 'red': {'pin': -1, 'flow_rate': 0.5}, 'yellow': {'pin': -1, 'flow_rate': 0.5}}
[August 19, 2024 22:26:25 UTC] [INFO | water_nutrient_controller] Water Pump: {'pin': 16, 'flow_rate': 20}
[August 19, 2024 22:26:25 UTC] [INFO | water_nutrient_controller] Distribution Pumps: {'pump_1': {'pin': 5, 'flow_rate': 30}, 'pump_2': {'pin': 20, 'flow_rate': 30}, 'pump_3': {'pin': 13, 'flow_rate': 30}, 'pump_4': {'pin': 6, 'flow_rate': 30}, 'pump_5': {'pin': 19, 'flow_rate': 30}}
[August 19, 2024 22:26:25 UTC] [INFO | water_nutrient_controller] Fill Level Sensor: {'pin': 26}
[August 19, 2024 22:26:25 UTC] [INFO | water_nutrient_controller] Nutrient Amounts: {'green': 50, 'red': 30, 'yellow': 20}
[August 19, 2024 22:26:25 UTC] [INFO | water_nutrient_controller] Total Water (ml): 8000
[August 19, 2024 22:26:25 UTC] [INFO | water_nutrient_controller] ML per Plant: 10
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Initializing SensorHubController with MQTT broker: mqtt, port: 1883
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Loading subscriptions for topics: ['sensor/soil_moisture']
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Subscribing to topic: sensor/soil_moisture
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] Subscribed to topic: sensor/soil_moisture
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Sending command to Arduino: CLEAR_ALL
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] Command sent successfully: CLEAR_ALL
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Adding sensor: soil_moisture_0
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Sending command to Arduino: ADD_SENSOR 0 soil_moisture 0
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] Command sent successfully: ADD_SENSOR 0 soil_moisture 0
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Subscribing to topic: sensor/soil_moisture
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] Added sensor: soil_moisture_0 on pin: 0
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Adding sensor: soil_moisture_1
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Sending command to Arduino: ADD_SENSOR 1 soil_moisture 1
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] Command sent successfully: ADD_SENSOR 1 soil_moisture 1
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Subscribing to topic: sensor/soil_moisture
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] Added sensor: soil_moisture_1 on pin: 1
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Adding sensor: soil_moisture_2
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Sending command to Arduino: ADD_SENSOR 2 soil_moisture 2
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] Command sent successfully: ADD_SENSOR 2 soil_moisture 2
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Subscribing to topic: sensor/soil_moisture
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] Added sensor: soil_moisture_2 on pin: 2
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Adding sensor: soil_moisture_3
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Sending command to Arduino: ADD_SENSOR 3 soil_moisture 3
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] Command sent successfully: ADD_SENSOR 3 soil_moisture 3
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Subscribing to topic: sensor/soil_moisture
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] Added sensor: soil_moisture_3 on pin: 3
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Adding sensor: soil_moisture_4
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Sending command to Arduino: ADD_SENSOR 4 soil_moisture 4
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] Command sent successfully: ADD_SENSOR 4 soil_moisture 4
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Subscribing to topic: sensor/soil_moisture
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] Added sensor: soil_moisture_4 on pin: 4
[August 19, 2024 22:26:25 UTC] [DEBUG | sensor_hub_controller] Sending command to Arduino: SET_INTERVAL 10000
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] Command sent successfully: SET_INTERVAL 10000
[August 19, 2024 22:26:25 UTC] [INFO | sensor_hub_controller] SensorHubController initialized and connected to MQTT broker: mqtt, port: 1883
[August 19, 2024 22:26:25 UTC] [DEBUG | event_controller] Initializing EventController
[August 19, 2024 22:26:25 UTC] [DEBUG | event_controller] Configuration loaded: {'moisture_sensors': {}, 'moisture_thresholds': {}, 'scheduled_events': []}
[August 19, 2024 22:26:25 UTC] [DEBUG | event_controller] Reapplying saved rules
[August 19, 2024 22:26:25 UTC] [INFO | event_controller] Reapplied saved rules
[August 19, 2024 22:26:25 UTC] [DEBUG | event_controller] EventController initialized with the following configuration:
[August 19, 2024 22:26:25 UTC] [DEBUG | event_controller] Moisture Thresholds: {}
[August 19, 2024 22:26:25 UTC] [DEBUG | event_controller] Scheduled Events: []
[August 19, 2024 22:26:25 UTC] [INFO | main] Controllers initialized
[August 19, 2024 22:26:25 UTC] [DEBUG | main] Starting Flask app
[August 19, 2024 22:26:25 UTC] [DEBUG | event_controller] Starting event monitoring
[August 19, 2024 22:26:25 UTC] [DEBUG | event_controller] Checking moisture levels for all plants
[August 19, 2024 22:26:25 UTC] [DEBUG | event_controller] Checking moisture level for plant plant_1
[August 19, 2024 22:26:25 UTC] [DEBUG | event_controller] Sensor data for plant plant_1: sensor_id=soil_moisture_0, sensor_data=None
[August 19, 2024 22:26:25 UTC] [WARNING | event_controller] No valid moisture data for plant plant_1, sensor soil_moisture_0
[August 19, 2024 22:26:25 UTC] [INFO | _internal] [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.19.0.3:5000
[August 19, 2024 22:26:25 UTC] [INFO | _internal] [33mPress CTRL+C to quit[0m
[August 19, 2024 22:26:26 UTC] [DEBUG | event_controller] Checking moisture levels for all plants
